name,score,peoples,date,nation,actor
爱乐之城,8.4,238637,2016-08-31,威尼斯电影节,2016-12-25(美国)	2017-02-14(中国大陆)	瑞恩·高斯林	艾玛·斯通	约翰·传奇	罗丝玛丽·德薇特	芬·维特洛克	杰西卡·罗德	水野索诺娅	考莉·赫尔南德斯	J·K·西蒙斯	汤姆·艾弗瑞特·斯科特
三生三世十里桃花,6.3,65354,2017-01-30,中国大陆,杨幂	赵又廷	张智尧	迪丽热巴	高伟光	张彬彬	于朦胧	连奕名	黄梦莹	祝绪丹	刘芮麟	代斯	中国大陆	林玉芬	45分钟	剧情	爱情	弘伙	唐七 Vivien Tang
乘风破浪,7.0,197329,2017-01-28,中国大陆,邓超	彭于晏	赵丽颖	董子健	金士杰	易小星	张本煜	李荣浩	高华阳	李淳	孙伊涵	熊黎	李春嫒	潘米	马达加斯加	金毛期期	孙启恒	孙强	彭菲茗	贾川西	张国庆	程诚	白珞力
你的名字。,8.5,335285,2016-08-26,日本,2016-12-02(中国大陆)	神木隆之介	上白石萌音	长泽雅美	市原悦子	成田凌	悠木碧	岛崎信长	石川界人	谷花音	日本	www.kiminona.com	新海诚	106分钟	你的名字。	剧情	爱情	动画
太空旅客,6.9,75287,2016-12-21,美国,2017-01-13(中国大陆)	詹妮弗·劳伦斯	克里斯·普拉特	麦克·辛	劳伦斯·菲什伯恩	安迪·加西亚	因德尔·库马尔	奥罗拉·佩里纽	美国	莫滕·泰杜姆	116分钟	太空旅客	冒险	科幻
泰坦尼克号,9.2,605821,1997-11-01,东京电影节,1997-12-19(美国)	1998-04-03(中国大陆)	莱昂纳多·迪卡普里奥	凯特·温丝莱特	比利·赞恩	凯西·贝茨	弗兰西丝·费舍	格劳瑞亚·斯图尔特	比尔·帕克斯顿	伯纳德·希尔	大卫·沃纳	维克多·加博
怦然心动,8.9,498556,2010-08-06,美国,玛德琳·卡罗尔	卡兰·麦克奥利菲	瑞贝卡·德·莫妮	安东尼·爱德华兹	约翰·马奥尼	佩内洛普·安·米勒	艾丹·奎因	凯文·韦斯曼	摩根·莉莉	肖恩·哈珀	瑞安·克茨纳	吉莉安·普法夫
西游伏妖篇,5.8,175131,2017-01-28,中国大陆,吴亦凡	林更新	姚晨	林允	包贝尔	巴特尔	杨一威	大鹏	王丽坤	汪铎	张美娥	中国大陆	香港	徐克	108分钟	喜剧	动作	奇幻	古装	周星驰 Stephen Chow	李思臻 Kelvin Lee
这个杀手不太冷,9.4,765216,1994-09-14,法国,让·雷诺	娜塔莉·波特曼	加里·奥德曼	丹尼·爱罗	麦温	法国	吕克·贝松	133分钟(国际版)	110分钟(公映版)	这个杀手不太冷	剧情	动作	犯罪	吕克·贝松 Luc Besson	英语	意大利语
大唐荣耀,7.0,41196,2017-01-29,中国大陆,景甜	任嘉伦	万茜	舒畅	秦俊杰	茅子俊	于小伟	王劲松	卢星宇	秦汉	中国大陆	刘国楠	尹涛	45分钟	剧情	爱情	古装	刘芳 FANG LIU	李惠敏
大话西游之大圣娶亲,9.1,426673,1995-02-04,香港,2014-10-24(中国大陆)	周星驰	吴孟达	朱茵	蔡少芬	蓝洁瑛	莫文蔚	罗家英	刘镇伟	陆树铭	李健仁	香港	中国大陆	刘镇伟	95分钟	大话西游之大圣娶亲	动作	冒险	喜剧	奇幻	爱情
七月与安生,7.6,212980,2016-09-14,中国大陆,2016-10-27(香港)	周冬雨	马思纯	李程彬	李萍	蔡纲	蒙亭宜	沙全泽	姚欣言	李昊芳	蒋亭轩	中国大陆	香港	曾国祥	109分钟	剧情	爱情	林咏琛 Lam Wing Sum	李媛 Yuan Li	许伊萌 Yimeng Xu
孤单又灿烂的神：鬼怪,8.3,95359,2016-12-02,韩国,孔侑	金高银	李栋旭	刘仁娜	陆星材	金所炫	金珉载	韩国	program.tving.com	tvn	dokebi	李应福	70分钟	孤单又灿烂的神：鬼怪	剧情	金恩淑 Eun-sook Kim
情书,8.8,344286,1995-03-25,日本,中山美穗	丰川悦司	酒井美纪	柏原崇	范文雀	篠原胜之	光石研	小栗香织	酒井敏也	铃木庆一	田口智朗	神户浩	加贺麻理子	中村久美	盐见三省	铃木兰兰	日本	岩井俊二	117分钟	情书
摆渡人,4.0,120962,2016-12-23,中国大陆,梁朝伟	金城武	陈奕迅	杨颖	张榕容	杜鹃	熊黛林	大鹏	马苏	崔志佳	贾玲	李宇春	鹿晗	欧弟	纳豆	金士杰	柯佳嬿	李灿森	喜翔	曹可凡	吴艺璇	中国大陆	香港	张嘉佳	128分钟
从你的全世界路过,5.3,138818,2016-09-29,中国大陆,邓超	白百何	杨洋	张天爱	岳云鹏	杜鹃	柳岩	廖学秋	曹卫宇	汪启楠	安韩瑾	潘肖	曹涤非	朱红	刘乐思	蓝可	梁超	张爱钦	张美娥	中国大陆	张一白	113分钟	喜剧	爱情
霸王别姬,9.5,562513,1993-01-01,香港,张国荣	张丰毅	巩俐	葛优	英达	蒋雯丽	吴大维	吕齐	雷汉	尹治	马明威	费振翔	智一桐	李春	赵海龙	李丹	童弟	沈慧芬	中国大陆	香港	陈凯歌	171 分钟	剧情	爱情	同性	芦苇 Wei Lu
恋恋笔记本,8.5,251546,2004-06-25,美国,瑞恩·高斯林	瑞秋·麦克亚当斯	吉娜·罗兰兹	詹姆斯·加纳	斯塔尔勒塔·杜波利斯	凯文·康诺利	希瑟·沃奎斯特	杰弗里·奈特	琼·艾伦	美国	尼克·卡索维茨	123分钟	恋恋笔记本	剧情	爱情
间谍同盟,6.9,20816,2016-11-23,美国,2016-11-30(中国大陆)	布拉德·皮特	玛丽昂·歌迪亚	马修·古迪	丽兹·卡潘	夏洛特·霍普	拉菲·卡西迪	杰瑞德·哈里斯	克里斯蒂安·鲁贝克	丹尼尔·贝茨	安格斯·肯尼迪	贾森·马修森
美丽人生,9.5,380499,1997-12-20,意大利,罗伯托·贝尼尼	尼可莱塔·布拉斯基	乔治·坎塔里尼	朱斯蒂诺·杜拉诺	塞尔吉奥·比尼·布斯特里克	玛丽莎·佩雷德斯	豪斯特·巴奇霍兹	朱利亚娜·洛约迪切	亚美利哥·丰塔尼	彼得·德·席尔瓦
爱乐之城,8.4,238637,2016-08-31,威尼斯电影节,2016-12-25(美国)	2017-02-14(中国大陆)	瑞恩·高斯林	艾玛·斯通	约翰·传奇	罗丝玛丽·德薇特	芬·维特洛克	杰西卡·罗德	水野索诺娅	考莉·赫尔南德斯	J·K·西蒙斯	汤姆·艾弗瑞特·斯科特
三生三世十里桃花,6.3,65354,2017-01-30,中国大陆,杨幂	赵又廷	张智尧	迪丽热巴	高伟光	张彬彬	于朦胧	连奕名	黄梦莹	祝绪丹	刘芮麟	代斯	中国大陆	林玉芬	45分钟	剧情	爱情	弘伙	唐七 Vivien Tang
乘风破浪,7.0,197329,2017-01-28,中国大陆,邓超	彭于晏	赵丽颖	董子健	金士杰	易小星	张本煜	李荣浩	高华阳	李淳	孙伊涵	熊黎	李春嫒	潘米	马达加斯加	金毛期期	孙启恒	孙强	彭菲茗	贾川西	张国庆	程诚	白珞力
你的名字。,8.5,335285,2016-08-26,日本,2016-12-02(中国大陆)	神木隆之介	上白石萌音	长泽雅美	市原悦子	成田凌	悠木碧	岛崎信长	石川界人	谷花音	日本	www.kiminona.com	新海诚	106分钟	你的名字。	剧情	爱情	动画
太空旅客,6.9,75287,2016-12-21,美国,2017-01-13(中国大陆)	詹妮弗·劳伦斯	克里斯·普拉特	麦克·辛	劳伦斯·菲什伯恩	安迪·加西亚	因德尔·库马尔	奥罗拉·佩里纽	美国	莫滕·泰杜姆	116分钟	太空旅客	冒险	科幻
泰坦尼克号,9.2,605821,1997-11-01,东京电影节,1997-12-19(美国)	1998-04-03(中国大陆)	莱昂纳多·迪卡普里奥	凯特·温丝莱特	比利·赞恩	凯西·贝茨	弗兰西丝·费舍	格劳瑞亚·斯图尔特	比尔·帕克斯顿	伯纳德·希尔	大卫·沃纳	维克多·加博
怦然心动,8.9,498556,2010-08-06,美国,玛德琳·卡罗尔	卡兰·麦克奥利菲	瑞贝卡·德·莫妮	安东尼·爱德华兹	约翰·马奥尼	佩内洛普·安·米勒	艾丹·奎因	凯文·韦斯曼	摩根·莉莉	肖恩·哈珀	瑞安·克茨纳	吉莉安·普法夫
西游伏妖篇,5.8,175131,2017-01-28,中国大陆,吴亦凡	林更新	姚晨	林允	包贝尔	巴特尔	杨一威	大鹏	王丽坤	汪铎	张美娥	中国大陆	香港	徐克	108分钟	喜剧	动作	奇幻	古装	周星驰 Stephen Chow	李思臻 Kelvin Lee
这个杀手不太冷,9.4,765216,1994-09-14,法国,让·雷诺	娜塔莉·波特曼	加里·奥德曼	丹尼·爱罗	麦温	法国	吕克·贝松	133分钟(国际版)	110分钟(公映版)	这个杀手不太冷	剧情	动作	犯罪	吕克·贝松 Luc Besson	英语	意大利语
大唐荣耀,7.0,41196,2017-01-29,中国大陆,景甜	任嘉伦	万茜	舒畅	秦俊杰	茅子俊	于小伟	王劲松	卢星宇	秦汉	中国大陆	刘国楠	尹涛	45分钟	剧情	爱情	古装	刘芳 FANG LIU	李惠敏
大话西游之大圣娶亲,9.1,426673,1995-02-04,香港,2014-10-24(中国大陆)	周星驰	吴孟达	朱茵	蔡少芬	蓝洁瑛	莫文蔚	罗家英	刘镇伟	陆树铭	李健仁	香港	中国大陆	刘镇伟	95分钟	大话西游之大圣娶亲	动作	冒险	喜剧	奇幻	爱情
七月与安生,7.6,212980,2016-09-14,中国大陆,2016-10-27(香港)	周冬雨	马思纯	李程彬	李萍	蔡纲	蒙亭宜	沙全泽	姚欣言	李昊芳	蒋亭轩	中国大陆	香港	曾国祥	109分钟	剧情	爱情	林咏琛 Lam Wing Sum	李媛 Yuan Li	许伊萌 Yimeng Xu
孤单又灿烂的神：鬼怪,8.3,95359,2016-12-02,韩国,孔侑	金高银	李栋旭	刘仁娜	陆星材	金所炫	金珉载	韩国	program.tving.com	tvn	dokebi	李应福	70分钟	孤单又灿烂的神：鬼怪	剧情	金恩淑 Eun-sook Kim
情书,8.8,344286,1995-03-25,日本,中山美穗	丰川悦司	酒井美纪	柏原崇	范文雀	篠原胜之	光石研	小栗香织	酒井敏也	铃木庆一	田口智朗	神户浩	加贺麻理子	中村久美	盐见三省	铃木兰兰	日本	岩井俊二	117分钟	情书
摆渡人,4.0,120962,2016-12-23,中国大陆,梁朝伟	金城武	陈奕迅	杨颖	张榕容	杜鹃	熊黛林	大鹏	马苏	崔志佳	贾玲	李宇春	鹿晗	欧弟	纳豆	金士杰	柯佳嬿	李灿森	喜翔	曹可凡	吴艺璇	中国大陆	香港	张嘉佳	128分钟
从你的全世界路过,5.3,138818,2016-09-29,中国大陆,邓超	白百何	杨洋	张天爱	岳云鹏	杜鹃	柳岩	廖学秋	曹卫宇	汪启楠	安韩瑾	潘肖	曹涤非	朱红	刘乐思	蓝可	梁超	张爱钦	张美娥	中国大陆	张一白	113分钟	喜剧	爱情
霸王别姬,9.5,562513,1993-01-01,香港,张国荣	张丰毅	巩俐	葛优	英达	蒋雯丽	吴大维	吕齐	雷汉	尹治	马明威	费振翔	智一桐	李春	赵海龙	李丹	童弟	沈慧芬	中国大陆	香港	陈凯歌	171 分钟	剧情	爱情	同性	芦苇 Wei Lu
恋恋笔记本,8.5,251546,2004-06-25,美国,瑞恩·高斯林	瑞秋·麦克亚当斯	吉娜·罗兰兹	詹姆斯·加纳	斯塔尔勒塔·杜波利斯	凯文·康诺利	希瑟·沃奎斯特	杰弗里·奈特	琼·艾伦	美国	尼克·卡索维茨	123分钟	恋恋笔记本	剧情	爱情
间谍同盟,6.9,20816,2016-11-23,美国,2016-11-30(中国大陆)	布拉德·皮特	玛丽昂·歌迪亚	马修·古迪	丽兹·卡潘	夏洛特·霍普	拉菲·卡西迪	杰瑞德·哈里斯	克里斯蒂安·鲁贝克	丹尼尔·贝茨	安格斯·肯尼迪	贾森·马修森
美丽人生,9.5,380499,1997-12-20,意大利,罗伯托·贝尼尼	尼可莱塔·布拉斯基	乔治·坎塔里尼	朱斯蒂诺·杜拉诺	塞尔吉奥·比尼·布斯特里克	玛丽莎·佩雷德斯	豪斯特·巴奇霍兹	朱利亚娜·洛约迪切	亚美利哥·丰塔尼	彼得·德·席尔瓦
